Date,Product_ID,Product_Name,Category,Units_Sold,Unit_Price,Profit_Per_Unit,Total_Sale,Total_Profit,Invoice_No,Store_ID,Tax_Amount,Discount_Amount,Payment_Mode,Customer_ID,Cashier_ID,Barcode,Batch_No,Supplier,Is_Return,Expiry_Date,Current_Stock,Reorder_Level
2026-04-01,P004,Bread Loaf,Bakery,1,2.1,0.55,2.1,0.55,INV-20260401-0001,STORE-001,0.11,0.0,UPI,CU0058,C02,,,,,,,
2026-04-01,P002,Apples,Produce,3,1.15,0.37,3.45,1.11,INV-20260401-0191,STORE-001,0.17,0.0,Card,CU0200,C05,,,,,,,
2026-04-01,P007,Peanut Butter,Pantry,1,5.25,1.65,4.99,1.39,INV-20260401-0201,STORE-001,0.25,0.26,UPI,CU0195,C02,,,,,,,
2026-04-01,P008,Strawberry Jam,Pantry,2,4.75,1.45,9.02,2.42,INV-20260401-0031,STORE-001,0.45,0.48,Wallet,CU0193,C02,,,,,,,
2026-04-01,P007,Peanut Butter,Pantry,2,5.25,1.65,10.5,3.3,INV-20260401-0031,STORE-001,0.53,0.0,Wallet,CU0193,C02,,,,,,,
2026-04-01,P010,Tomato Sauce,Pantry,1,2.9,0.82,2.9,0.82,INV-20260401-0031,STORE-001,0.14,0.0,Wallet,CU0193,C02,,,,,,,
2026-04-01,P009,Pasta,Pantry,1,2.35,0.7,2.28,0.63,INV-20260401-0031,STORE-001,0.11,0.07,Wallet,CU0193,C02,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,2,3.8,0.95,7.6,1.9,INV-20260401-0031,STORE-001,0.38,0.0,Wallet,CU0193,C02,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,2,2.25,0.62,4.5,1.24,INV-20260401-0031,STORE-001,0.23,0.0,Wallet,CU0193,C02,,,,,,,
2026-04-01,P013,Tea Bags,Beverages,2,4.3,1.2,8.34,2.14,INV-20260401-0191,STORE-001,0.42,0.26,Card,CU0200,C05,,,,,,,
2026-04-01,P006,Butter,Dairy,3,4.4,1.05,12.8,2.75,INV-20260401-0031,STORE-001,0.64,0.4,Wallet,CU0193,C02,,,,,,,
2026-04-01,P008,Strawberry Jam,Pantry,1,4.75,1.45,4.61,1.31,INV-20260401-0201,STORE-001,0.23,0.14,UPI,CU0195,C02,,,,,,,
2026-04-01,P002,Apples,Produce,1,1.15,0.37,1.15,0.37,INV-20260401-0201,STORE-001,0.06,0.0,UPI,CU0195,C02,,,,,,,
2026-04-01,P001,Bananas,Produce,3,0.62,0.23,1.8,0.63,INV-20260401-0201,STORE-001,0.09,0.06,UPI,CU0195,C02,,,,,,,
2026-04-01,P015,Chips,Snacks,3,2.85,0.86,8.29,2.32,INV-20260401-0201,STORE-001,0.41,0.26,UPI,CU0195,C02,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,2,2.25,0.62,4.27,1.01,INV-20260401-0211,STORE-001,0.21,0.23,Card,CU0092,C03,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,2,3.8,0.95,7.6,1.9,INV-20260401-0211,STORE-001,0.38,0.0,Card,CU0092,C03,,,,,,,
2026-04-01,P011,Coffee,Beverages,2,8.9,2.8,17.8,5.6,INV-20260401-0221,STORE-001,0.89,0.0,Card,CU0031,C02,,,,,,,
2026-04-01,P012,Sugar,Pantry,2,2.2,0.52,4.4,1.04,INV-20260401-0221,STORE-001,0.22,0.0,Card,CU0031,C02,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,2,2.1,0.55,3.99,0.89,INV-20260401-0031,STORE-001,0.2,0.21,Wallet,CU0193,C02,,,,,,,
2026-04-01,P001,Bananas,Produce,3,0.62,0.23,1.86,0.69,INV-20260401-0191,STORE-001,0.09,0.0,Card,CU0200,C05,,,,,,,
2026-04-01,P012,Sugar,Pantry,3,2.2,0.52,6.6,1.56,INV-20260401-0191,STORE-001,0.33,0.0,Card,CU0200,C05,,,,,,,
2026-04-01,P011,Coffee,Beverages,1,8.9,2.8,8.9,2.8,INV-20260401-0191,STORE-001,0.45,0.0,Card,CU0200,C05,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,1,2.1,0.55,2.1,0.55,INV-20260401-0151,STORE-001,0.11,0.0,Wallet,CU0095,C01,,,,,,,
2026-04-01,P006,Butter,Dairy,3,4.4,1.05,13.2,3.15,INV-20260401-0151,STORE-001,0.66,0.0,Wallet,CU0095,C01,,,,,,,
2026-04-01,P018,Cooking Oil,Staples,3,9.8,1.9,27.93,4.23,INV-20260401-0151,STORE-001,1.4,1.47,Wallet,CU0095,C01,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,1,2.1,0.55,2.1,0.55,INV-20260401-0161,STORE-001,0.11,0.0,Card,CU0055,C03,,,,,,,
2026-04-01,P006,Butter,Dairy,2,4.4,1.05,8.54,1.84,INV-20260401-0161,STORE-001,0.43,0.26,Card,CU0055,C03,,,,,,,
2026-04-01,P016,Salsa,Snacks,1,3.95,1.05,3.95,1.05,INV-20260401-0161,STORE-001,0.2,0.0,Card,CU0055,C03,,,,,,,
2026-04-01,P001,Bananas,Produce,3,0.62,0.23,1.77,0.6,INV-20260401-0161,STORE-001,0.09,0.09,Card,CU0055,C03,,,,,,,
2026-04-01,P013,Tea Bags,Beverages,3,4.3,1.2,12.9,3.6,INV-20260401-0161,STORE-001,0.65,0.0,Card,CU0055,C03,,,,,,,
2026-04-01,P014,Biscuits,Snacks,3,2.6,0.78,7.8,2.34,INV-20260401-0161,STORE-001,0.39,0.0,Card,CU0055,C03,,,,,,,
2026-04-01,P004,Bread Loaf,Bakery,3,2.1,0.55,6.3,1.65,INV-20260401-0171,STORE-001,0.32,0.0,Wallet,CU0085,C02,,,,,,,
2026-04-01,P006,Butter,Dairy,1,4.4,1.05,4.4,1.05,INV-20260401-0171,STORE-001,0.22,0.0,Wallet,CU0085,C02,,,,,,,
2026-04-01,P020,Yogurt Cups,Dairy,2,3.4,0.88,6.8,1.76,INV-20260401-0171,STORE-001,0.34,0.0,Wallet,CU0085,C02,,,,,,,
2026-04-01,P008,Strawberry Jam,Pantry,3,4.75,1.45,14.25,4.35,INV-20260401-0171,STORE-001,0.71,0.0,Wallet,CU0085,C02,,,,,,,
2026-04-01,P003,Milk 1L,Dairy,3,2.25,0.62,6.75,1.86,INV-20260401-0181,STORE-001,0.34,0.0,Cash,CU0219,C04,,,,,,,
2026-04-01,P005,Eggs 12 Pack,Dairy,3,3.8,0.95,10.83,2.28,INV-20260401-0181,STORE-001,0.54,0.57,Cash,CU0219,C04,,,,,,,
2026-04-01,P019,Chicken Breast,Meat,3,7.2,1.75,20.52,4.17,INV-20260401-0181,STORE-001,1.03,1.08,Cash,CU0219,C04,,,,,,,
2026-04-01,P008,Strawberry Jam,Pantry,3,4.75,1.45,13.54,3.64,INV-20260401-0181,STORE-001,0.68,0.71,Cash,CU0219,C04,,,,,,,
