Date,ID,Name,Category,Sold,Price,Profit,Total Sale,Profit
2026-04-03,P004,Organic Apples,Produce,10,5.5,2.0,55.0,20.0
2026-04-03,P004,Organic Apples,Produce,9,5.5,2.0,49.5,18.0
2026-04-03,P013,Bell Peppers,Produce,7,3.0,1.1,21.0,7.7
2026-04-03,P003,Free Range Eggs,Dairy,8,4.2,1.5,33.6,12.0
2026-04-03,P011,Quinoa,Pantry,8,6.8,2.5,54.4,20.0
2026-04-03,P007,Olive Oil,Pantry,5,12.0,4.5,60.0,22.5
2026-04-03,P004,Organic Apples,Produce,8,5.5,2.0,44.0,16.0
2026-04-03,P009,Almond Butter,Pantry,10,7.5,2.8,75.0,28.0
2026-04-03,P001,Fresh Milk,Dairy,4,3.5,1.2,14.0,4.8
2026-04-03,P001,Fresh Milk,Dairy,10,3.5,1.2,35.0,12.0
2026-04-03,P004,Organic Apples,Produce,7,5.5,2.0,38.5,14.0
2026-04-03,P007,Olive Oil,Pantry,7,12.0,4.5,84.0,31.5
2026-04-03,P008,Greek Yogurt,Dairy,6,1.8,0.6,10.8,3.6
2026-04-03,P007,Olive Oil,Pantry,8,12.0,4.5,96.0,36.0
2026-04-03,P015,Dark Chocolate,Snacks,3,4.5,1.8,13.5,5.4
2026-04-03,P002,Whole Wheat Bread,Bakery,4,2.8,0.9,11.2,3.6
2026-04-03,P012,Avocado,Produce,5,2.2,0.8,11.0,4.0
2026-04-03,P011,Quinoa,Pantry,7,6.8,2.5,47.6,17.5
2026-04-03,P015,Dark Chocolate,Snacks,8,4.5,1.8,36.0,14.4
2026-04-03,P004,Organic Apples,Produce,3,5.5,2.0,16.5,6.0
2026-04-03,P013,Bell Peppers,Produce,8,3.0,1.1,24.0,8.8
2026-04-03,P014,Greek Olives,Pantry,5,5.5,2.0,27.5,10.0
2026-04-03,P010,Salmon Fillet,Seafood,5,12.5,4.2,62.5,21.0
2026-04-03,P010,Salmon Fillet,Seafood,7,12.5,4.2,87.5,29.4
2026-04-03,P008,Greek Yogurt,Dairy,3,1.8,0.6,5.4,1.8
2026-04-03,P014,Greek Olives,Pantry,6,5.5,2.0,33.0,12.0
2026-04-03,P008,Greek Yogurt,Dairy,6,1.8,0.6,10.8,3.6
2026-04-03,P010,Salmon Fillet,Seafood,1,12.5,4.2,12.5,4.2
2026-04-03,P003,Free Range Eggs,Dairy,1,4.2,1.5,4.2,1.5
