Date,Invoice_No,Product_ID,Product_Name,Category,Units_Sold,Unit_Price,Profit_Per_Unit,Total_Sale,Total_Profit,Discount_Amount,Tax_Amount,Payment_Mode,Customer_ID,Cashier_ID,Store_ID
2026-04-01,INV-20260401-0001,P004,Bread Loaf,Bakery,1,2.1,0.55,2.1,0.55,0.0,0.11,UPI,CU0058,C02,STORE-001
2026-04-01,INV-20260401-0001,P006,Butter,Dairy,3,4.4,1.05,12.54,2.49,0.66,0.63,UPI,CU0058,C02,STORE-001
2026-04-01,INV-20260401-0001,P003,Milk 1L,Dairy,1,2.25,0.62,2.14,0.51,0.11,0.11,UPI,CU0058,C02,STORE-001
2026-04-01,INV-20260401-0001,P005,Eggs 12 Pack,Dairy,2,3.8,0.95,7.6,1.9,0.0,0.38,UPI,CU0058,C02,STORE-001
2026-04-01,INV-20260401-0001,P009,Pasta,Pantry,1,2.35,0.7,2.35,0.7,0.0,0.12,UPI,CU0058,C02,STORE-001
2026-04-01,INV-20260401-0001,P010,Tomato Sauce,Pantry,1,2.9,0.82,2.9,0.82,0.0,0.14,UPI,CU0058,C02,STORE-001
2026-04-01,INV-20260401-0001,P007,Peanut Butter,Pantry,3,5.25,1.65,14.96,4.16,0.79,0.75,UPI,CU0058,C02,STORE-001
2026-04-01,INV-20260401-0001,P008,Strawberry Jam,Pantry,1,4.75,1.45,4.51,1.21,0.24,0.23,UPI,CU0058,C02,STORE-001
2026-04-01,INV-20260401-0001,P001,Bananas,Produce,1,0.62,0.23,0.59,0.2,0.03,0.03,UPI,CU0058,C02,STORE-001
2026-04-02,INV-20260402-0002,P004,Bread Loaf,Bakery,2,2.1,0.55,4.2,1.1,0.0,0.21,Card,CU0109,C06,STORE-001
2026-04-02,INV-20260402-0002,P006,Butter,Dairy,1,4.4,1.05,4.4,1.05,0.0,0.22,Card,CU0109,C06,STORE-001
2026-04-02,INV-20260402-0002,P003,Milk 1L,Dairy,2,2.25,0.62,4.5,1.24,0.0,0.23,Card,CU0109,C06,STORE-001
2026-04-02,INV-20260402-0002,P005,Eggs 12 Pack,Dairy,1,3.8,0.95,3.69,0.84,0.11,0.18,Card,CU0109,C06,STORE-001
2026-04-02,INV-20260402-0002,P009,Pasta,Pantry,1,2.35,0.7,2.35,0.7,0.0,0.12,Card,CU0109,C06,STORE-001
2026-04-02,INV-20260402-0002,P010,Tomato Sauce,Pantry,2,2.9,0.82,5.51,1.35,0.29,0.28,Card,CU0109,C06,STORE-001
2026-04-02,INV-20260402-0002,P007,Peanut Butter,Pantry,2,5.25,1.65,10.5,3.3,0.0,0.53,Card,CU0109,C06,STORE-001
2026-04-02,INV-20260402-0002,P008,Strawberry Jam,Pantry,3,4.75,1.45,13.82,3.92,0.43,0.69,Card,CU0109,C06,STORE-001
2026-04-02,INV-20260402-0002,P015,Chips,Snacks,3,2.85,0.86,8.55,2.58,0.0,0.43,Card,CU0109,C06,STORE-001
2026-04-02,INV-20260402-0002,P001,Bananas,Produce,2,0.62,0.23,1.24,0.46,0.0,0.06,Card,CU0109,C06,STORE-001
2026-04-03,INV-20260403-0003,P004,Bread Loaf,Bakery,1,2.1,0.55,2.1,0.55,0.0,0.11,Cash,CU0170,C01,STORE-001
2026-04-03,INV-20260403-0003,P006,Butter,Dairy,1,4.4,1.05,4.4,1.05,0.0,0.22,Cash,CU0170,C01,STORE-001
2026-04-03,INV-20260403-0003,P003,Milk 1L,Dairy,1,2.25,0.62,2.18,0.55,0.07,0.11,Cash,CU0170,C01,STORE-001
2026-04-03,INV-20260403-0003,P005,Eggs 12 Pack,Dairy,2,3.8,0.95,7.37,1.67,0.23,0.37,Cash,CU0170,C01,STORE-001
2026-04-03,INV-20260403-0003,P009,Pasta,Pantry,3,2.35,0.7,7.05,2.1,0.0,0.35,Cash,CU0170,C01,STORE-001
2026-04-03,INV-20260403-0003,P010,Tomato Sauce,Pantry,1,2.9,0.82,2.9,0.82,0.0,0.14,Cash,CU0170,C01,STORE-001
2026-04-03,INV-20260403-0003,P007,Peanut Butter,Pantry,2,5.25,1.65,10.5,3.3,0.0,0.53,Cash,CU0170,C01,STORE-001
2026-04-03,INV-20260403-0003,P008,Strawberry Jam,Pantry,3,4.75,1.45,14.25,4.35,0.0,0.71,Cash,CU0170,C01,STORE-001
2026-04-03,INV-20260403-0003,P020,Yogurt Cups,Dairy,3,3.4,0.88,10.2,2.64,0.0,0.51,Cash,CU0170,C01,STORE-001
2026-04-03,INV-20260403-0003,P012,Sugar,Pantry,3,2.2,0.52,6.6,1.56,0.0,0.33,Cash,CU0170,C01,STORE-001
2026-04-04,INV-20260404-0004,P004,Bread Loaf,Bakery,3,2.1,0.55,5.98,1.33,0.32,0.3,Wallet,CU0164,C03,STORE-001
2026-04-04,INV-20260404-0004,P006,Butter,Dairy,1,4.4,1.05,4.4,1.05,0.0,0.22,Wallet,CU0164,C03,STORE-001
2026-04-04,INV-20260404-0004,P003,Milk 1L,Dairy,1,2.25,0.62,2.25,0.62,0.0,0.11,Wallet,CU0164,C03,STORE-001
2026-04-04,INV-20260404-0004,P005,Eggs 12 Pack,Dairy,1,3.8,0.95,3.8,0.95,0.0,0.19,Wallet,CU0164,C03,STORE-001
2026-04-04,INV-20260404-0004,P009,Pasta,Pantry,2,2.35,0.7,4.7,1.4,0.0,0.24,Wallet,CU0164,C03,STORE-001
